id;document_id;account_number;bank_name;statement_date;statement_period_start;statement_period_end;opening_balance;closing_balance;currency;status;is_reconciled;created_date
1;27498;gosh;sans;2025-12-24;2025-12-24;2025-12-24;32201.74;3238.42;and;RECONCILED;false;2025-12-25T00:44:29
2;8811;seriously however;mediocre triumphantly;2025-12-24;2025-12-24;2025-12-24;7964.16;30581.9;sup;PENDING;true;2025-12-24T10:34:15
3;24343;gummy fabricate uh-huh;randomize pfft;2025-12-24;2025-12-25;2025-12-24;20897.3;3803.6;eve;DRAFT;true;2025-12-25T05:38:54
4;25146;clamor presell;bah idealistic;2025-12-24;2025-12-24;2025-12-25;1537.19;10451.67;hoi;RECONCILED;false;2025-12-25T03:14:50
5;27274;secondary;apparatus searchingly;2025-12-25;2025-12-24;2025-12-25;23208.86;7179.67;nor;ARCHIVED;true;2025-12-24T14:34:44
6;32434;summarise pace;overtrain step behind;2025-12-25;2025-12-25;2025-12-24;32592.52;24945.87;dur;PENDING;false;2025-12-24T12:36:25
7;16707;veto cheap;majestic;2025-12-24;2025-12-24;2025-12-24;12970.89;9183.54;raw;PENDING;false;2025-12-25T09:28:10
8;22849;vice now;until emotional;2025-12-25;2025-12-25;2025-12-25;27360.67;17476.38;whe;DRAFT;false;2025-12-24T17:42:06
9;26181;ascertain gad valuable;fiercely;2025-12-24;2025-12-24;2025-12-25;4711.77;9092.8;via;RECONCILED;true;2025-12-25T04:57:19
10;31840;below;furthermore;2025-12-25;2025-12-24;2025-12-25;5164.33;8334.23;for;PROCESSED;true;2025-12-25T06:27:56
